id,item,response,source,prediction,modelname
5fb551ccab996500099ab1aa,pen-paper-story,"ben was given a pen and paper, using these he wrote a short story about a boy being friends with a bear. he and the bear travelled to the park and to the shopping mall.",human,0.7793535590171814,DSI
609911e00dd4843e39cb88ac,pen-paper-story,"i started school at 4 years old. i remember the weekend before i had started, my mum bought me a pen, pencil and pencil case. i remember the first day i started, i had to trace letters of the alphabet on paper. it took me a few months to be able to write my name.",human,0.7824534177780151,DSI
6079ff1600ff2b7455e1c3e0,pen-paper-story,"jessica's autonomous pen could write of its own volition. she felt a tinge of guilt at times as she watched it write her homework assignments for her with only her verbal input. but that feeling could be easily dismissed when she considered that she purchased the pen, and therefore, the pen's work was her own doing. the ideas were also all her own, it didn't make a difference how those ideas made it to the paper.",human,0.8131133317947388,DSI
68879462acd0ae2c5ecf4b88,pen-paper-story,"he took out a pen and tapped it against his desk. the paper sat bare in front of him; he had been stuck on what to write for what seemed like hours. he stared out of the window at the meadowlark perched atop a tree branch when, suddenly, inspiration began flowing. he scribbled furiously onto the paper, finally able to write his story.",human,0.8091346621513367,DSI
5c2c62542c45d400014a32e6,pen-paper-story,"the pen was in desperate need for a human. it could see a piece of paper, but it couldn't use itself. a baby crawled by to pick it up. the baby put it in its mouth. it was never able to write again.",human,0.7852572202682495,DSI
691371c5d552995298408398,pen-paper-story,"the girl picked up the pen even though her hands were shaking. the paper in front of her was still blank, but heavy with everything she had been avoiding, including her tears. the girl didn’t know what she could possibly write to her ex lover, only that leaving it empty felt worse than saying the wrong thing. the first sentence came out crooked and unsure, but once it existed, she could finally breathe.",human,0.819250762462616,DSI
6332274d72eff2df47171a78,pen-paper-story,"i had to find a pen and paper to write my story. the trouble is, i don't know what to write about. should it be about this task? or how about how my day went? does everyone have this kind of problem deciding? i think i'll just wrap it up here, because i have no idea where else to go with this.",human,0.7952399849891663,DSI
60d4edd50a63d7874c704979,pen-paper-story,"i went into my room after a long day and saw a pen tremble on my desk. the pen began to move as if ti was alive. it seemed to look around and was looking for something. as soon as it saw paper it flew straight at it and began to write a message on it. i looked at the paper and it said help, the pen stopped moving",human,0.7883234620094299,DSI
67c60b46b619cad09b65ab51,pen-paper-story,the teacher has always encouraged us to write notes on a piece of paper. this is a good gesture as it enables as to remember important points in future. the use of pen make it possible for notes to last for a long period. this is a good learning method.,human,0.7867271304130554,DSI
65c10d8000af1af81e3f42ec,pen-paper-story,when arriving to school each day the children always make sure they have all of their supplies for the day. the first thing they do is take out a pencil and some paper so that they are ready to take notes and learn. in the classroom we never use a pen. we don't use pen so that we are able to correct mistakes.,human,0.7871907949447632,DSI
692f221e98e3cdcf10465812,pen-paper-story,"there was once a guy named dave who had all we wanted in life. he had the girl of his dreams, a beautiful set of twins, and a house bigger than teh trump hotel. however, all he ever wanted was to write novels. this was his goal all along, but because of how scarce items like pen and paper were, he knew he could never do it.",human,0.8143657445907593,DSI
6637b21240220c2517fffa1a,pen-paper-story,"darcy knew she had to get this over with.  she was dreading it but she knew if she didn't tell bill what she was thinking, she'd regret it. she took out a piece of pink paper and grabbed her tul pen and started to write. ""i hate you,"" she wrote. ""i've always hated you and nothing you can do will ever change that. you may talk me into staying again, but i need you to know that i hate you so much and i'll hate you more than anyone on earth."" she paused for second, sucking on the tip of her pen and continued, ""you called me fat, and for that i'll never forgive you. in fact, i want you to die horribly. thank you for your attention to this matter!""",human,0.8160578608512878,DSI
5c7ceda01d2afc0001f4ad1d,pen-paper-story,"he plucked the pen from the ground and stared at it. the shaft was dirty but the nib glistened with fresh ink. he sat back down at his desk and frowned at the blank page before him. it stared dumbly back, taunting him it seemed. would he ever find that spark again to write?",human,0.8145512342453003,DSI
5fd66ce8aec66457ff73d743,pen-paper-story,i want to write a story. in order to do that i need to have a pen so i can write. then i also need paper. once i get these items i can write a story.,human,0.7419426441192627,DSI
5cab22cd68194f001511b2d6,pen-paper-story,"there once was a pen called inky who had a desperate need to write a story. he ventured into the office of the house he lived in and spotted a book, open on the large oak table. inky hopped up onto the table and gasped as he saw the fresh white sheet of paper, blank, waiting to be used. inky thought for a moment and then glided over the white parchment paper and began to write his story. he didn't stop writing until all the pages had been filled and his masterpiece was complete.",human,0.8123692870140076,DSI
65a3eae145bd7a121b03e953,pen-paper-story,jimmy was peparing for his exam. he was equipped with everything he needed to revise. his pen and paper. however jimmy had never felt so anxious about an exam before. it felt like he had a million things running through his head. he just couldnt write anything down!,human,0.8071470260620117,DSI
63fa78f21e485a372c6528fa,pen-paper-story,"not too long ago, i sat down and began to write a letter i set everything up in place, my pen was right there on the desk already. as i set off to find the paper, i became distracted and caught up in tasks and chores. the needs of daily life took over, and the story remains unwritten.",human,0.803575336933136,DSI
6779ab59311fd2904146f0d7,pen-paper-story,can i use you pen and paper to write a letter to my dad,human,0.744013786315918,DSI
66b828d453598bcca42608c1,pen-paper-story,"mary picked up her sparkly pink pen and picked up a piece of lavender scented paper. she was ready to write her crush a letter, professing her feelings for him. mary hoped he'd like the smell of her special paper. it was her signature scent.",human,0.8020890355110168,DSI
5dd7f591ad0a617838322129,pen-paper-story,"the author looked at the blank paper. a new story to write, a whole new world to create. she looked out the window at the children playing in the park, at the litter blowing in the street, at the sun glinting off the puddles left by yesterday's rain. she picked up her pen and began to write.",human,0.7996755838394165,DSI
6941aeb9a019a9bbdd57d028,pen-paper-story,"denise worked at her high school paper. she really enjoyed having stories to write. for one story, she visited a farm. at the farm, they kept pigs in a pen. she later had a successful career in journalism.",human,0.773173987865448,DSI
66ccbb7d4109382e498e3c82,pen-paper-story,i wanted to create my own little nursery rhyme type story for my children but didn't know where to start. i gathered my pen and paper but when i tried to write i got stuck. eventually the story started to come together and it was actually really fun once i got into the groove. now i have a bunch of ideas and plan to write a few more stories.,human,0.7875121235847473,DSI
6544fd514964fea23051c3b7,pen-paper-story,"he picked up his pen to write a script for his upcoming movie project but there was an issue: he had writer's block and seems unable to pen anything down on the paper that laid on the table. he stared at the empty white paper, attempting to drive his thoughts to produce or provoke something, but his efforts seemed futile",human,0.8032583594322205,DSI
6658ca2b92efe5c33798f1b4,pen-paper-story,i had an essay to complete and i realised i had nothing to write it with or on. i went off to the shops but it was so slippy that i landed on my bum. when i finally got to the shop i managed to find a pen and some paper. i made the treacherous walk home through the ice. when i made it home i was not even in the mood to write.,human,0.7838402986526489,DSI
67aae2b5797af1e296927d2a,pen-paper-story,"as she sat under the old tree, she picked up her favorite pen and started to scribble on the blank paper. she began to write the story she'd been dreaming of, and the words flowed effortlessly. with each stroke, her imagination came alive, and the characters leaped off the page. the paper filled with life, and she felt a sense of satisfaction.",human,0.8003190159797668,DSI
